year,Agriculture,Mining,Utilities,Construction,Manufacturing,FinanceInsurance,HealthCare,RealEstate
1998,-5.1,-13.5,-2.7,3.3,-2.9,-0.3,2.7,2.2
1999,-5.2,7.4,-1.5,3.9,-0.6,-1.7,2.5,2.7
2000,0.7,33.3,7.7,4.2,2.2,0.5,3.1,3.3
2001,3.8,-1.5,9.8,3.9,-1.2,-0.8,3.8,3.0
2002,-4.1,-5.9,-5.2,2.7,-1.0,1.6,2.5,3.1
2003,8.0,27.6,11.5,3.6,2.2,2.6,2.8,2.3
2004,10.7,16.9,5.5,7.0,4.7,2.9,3.0,2.5
2005,-3.4,27.7,11.5,8.3,5.9,2.2,3.1,2.7
2006,0.7,7.5,5.3,7.6,4.4,2.0,2.7,3.1
2007,16.4,6.5,2.0,4.6,3.3,2.4,3.4,2.0
2008,11.2,22.6,7.9,3.0,7.8,1.3,2.6,1.9
2009,-12.7,-32.0,-6.5,-0.7,-6.5,-4.8,2.2,0.6
2010,7.7,18.4,2.3,0.0,5.8,3.0,2.0,0.0
2011,20.6,11.4,1.6,3.1,8.3,1.8,1.8,1.1
2012,4.3,-5.4,-4.2,2.5,1.2,3.4,1.5,1.8
2013,1.7,2.7,4.1,2.8,0.1,3.7,1.4,1.9
2014,-0.6,-1.1,6.5,3.8,0.8,4.4,1.4,2.1
2015,-10.0,-29.4,-5.6,1.8,-5.7,2.7,1.1,2.1
2016,-10.2,-6.8,-3.2,2.0,-2.6,4.0,1.6,2.3
